filename,width,height,class,xmin,ymin,xmax,ymax
page_51@_522.jpg,122,130,instrumenttag,88,62,122,129
page_51@_522.jpg,122,130,instrumenttag,91,1,122,23
page_50@_277.jpg,122,129,instrumenttag,1,1,48,55
page_50@_277.jpg,122,129,instrumenttag,87,88,121,129
page_51@_525.jpg,122,130,instrumenttag,9,67,79,130
page_55@_205.jpg,122,130,instrumenttag,62,108,122,129
page_11@_1016.jpg,121,129,instrumenttag,1,75,49,129
page_51@_422.jpg,122,129,instrumenttag,89,56,121,129
page_51@_472.jpg,122,129,instrumenttag,88,56,122,129
page_51@_472.jpg,122,129,instrumenttag,89,1,122,19
page_50@_227.jpg,122,130,instrumenttag,1,92,47,129
page_50@_226.jpg,121,130,instrumenttag,74,91,121,128
page_50@_130.jpg,122,129,instrumenttag,77,2,122,75
page_13@_215.jpg,122,130,psv,80,78,108,123
page_15@_677.jpg,122,130,psv,6,94,33,129
page_15@_682.jpg,122,130,psv,72,94,98,129
page_13@_615.jpg,122,129,psv,73,1,103,30
page_5@_173.jpg,121,129,psv,32,59,64,109
page_67@_272.jpg,122,129,psv,90,49,122,112
page_10@_964.jpg,122,130,psv,86,37,115,103
page_11@_1011.jpg,121,129,psv,96,1,121,46
page_13@_318.jpg,121,129,psv,78,1,108,36
page_13@_565.jpg,122,129,psv,73,91,105,129
page_65@_488.jpg,121,129,psv,86,24,121,81
page_48@_868.jpg,121,129,psv,78,1,110,50
page_9@_679.jpg,122,130,psv,46,6,76,51
page_69@_909.jpg,122,129,psv,75,8,106,64
page_55@_86.jpg,121,130,psv,63,45,94,105
page_19@_85.jpg,122,130,psv,40,41,70,102
page_10@_1214.jpg,122,129,psv,82,1,111,50
page_7@_216.jpg,121,130,psv,72,79,103,128
page_5@_683.jpg,121,130,psv,87,73,118,119
page_4@_337.jpg,122,129,psv,83,1,110,41
page_2@_329.jpg,122,129,psv,68,1,100,39
page_13@_459.jpg,122,129,psv,78,49,107,97
page_67@_258.jpg,121,129,psv,44,1,75,52
page_13@_512.jpg,122,130,psv,76,71,105,116
page_13@_668.jpg,121,130,psv,72,2,101,49
page_13@_162.jpg,122,129,psv,83,57,113,105
page_11@_633.jpg,121,129,valve,24,43,62,92
page_13@_615.jpg,122,129,valve,29,82,55,97
page_11@_514.jpg,122,130,valve,1,56,38,108
page_55@_632.jpg,122,129,valve,59,24,96,46
page_65@_488.jpg,121,129,valve,1,96,34,117
page_11@_646.jpg,121,129,valve,32,47,73,93
page_2@_329.jpg,122,129,valve,18,75,43,92
page_13@_668.jpg,121,130,valve,28,104,50,117
page_50@_1134.jpg,122,130,verticaltext,32,1,58,130
page_11@_574.jpg,122,129,verticaltext,56,21,80,128
page_11@_582.jpg,122,129,verticaltext,58,30,79,128
page_50@_771.jpg,121,129,verticaltext,41,1,80,129
page_11@_490.jpg,122,129,verticaltext,91,44,113,129
page_50@_722.jpg,122,129,verticaltext,60,82,83,129
page_55@_559.jpg,122,129,verticalvalve,47,7,69,55
page_55@_205.jpg,122,130,verticalvalve,5,23,28,67
page_55@_388.jpg,121,130,verticalvalve,80,37,103,88
page_53@_1042.jpg,122,129,verticalvalve,62,17,84,69
page_55@_1074.jpg,122,129,verticalvalve,66,8,87,46
